composite_ID,UID,TEST,CTT_full_what,CTT_full_where
A010_1,A010,1,0.9655172413793104,0.885
A010_2,A010,2,0.8620689655172413,0.685
A010_3,A010,3,0.8275862068965517,0.505
A010_4,A010,4,0.9310344827586207,0.595
A011_1,A011,1,0.9655172413793104,0.73
A011_2,A011,2,0.8275862068965517,0.66
A011_3,A011,3,0.8275862068965517,0.475
A011_4,A011,4,0.6896551724137931,0.54
A012_1,A012,1,0.9310344827586207,0.78
A012_2,A012,2,0.7931034482758621,0.525
A012_3,A012,3,0.896551724137931,0.715
A012_4,A012,4,0.6896551724137931,0.53
A013_1,A013,1,0.7241379310344828,0.675
A013_2,A013,2,0.7931034482758621,0.585
A013_3,A013,3,0.7586206896551724,0.655
A013_4,A013,4,0.7931034482758621,0.54
A014_1,A014,1,0.896551724137931,0.705
A014_2,A014,2,0.9310344827586207,0.78
A014_3,A014,3,0.9310344827586207,0.58
A014_4,A014,4,0.7931034482758621,0.54
A015_1,A015,1,0.896551724137931,0.835
A015_2,A015,2,0.9655172413793104,0.83
A015_3,A015,3,1.0,0.705
A015_4,A015,4,0.896551724137931,0.695
A016_1,A016,1,0.9310344827586207,0.735
A016_2,A016,2,0.6896551724137931,0.7
A016_3,A016,3,0.7241379310344828,0.555
A016_4,A016,4,0.6896551724137931,0.51
A017_1,A017,1,0.7068965517241379,0.6
A017_2,A017,2,0.8275862068965517,0.705
A017_3,A017,3,0.7931034482758621,0.64
A017_4,A017,4,0.7931034482758621,0.55
A018_1,A018,1,0.896551724137931,0.635
A018_2,A018,2,0.6896551724137931,0.615
A018_3,A018,3,0.6896551724137931,0.505
A018_4,A018,4,0.7931034482758621,0.62
A019_1,A019,1,0.8620689655172413,0.525
A019_2,A019,2,0.6206896551724138,0.44
A019_3,A019,3,0.7586206896551724,0.395
A019_4,A019,4,0.6551724137931034,0.325
A020_1,A020,1,0.7931034482758621,0.54
A020_2,A020,2,0.6896551724137931,0.59
A020_3,A020,3,0.6896551724137931,0.465
A020_4,A020,4,0.4482758620689655,0.33
A021_1,A021,1,0.9310344827586207,0.75
A021_2,A021,2,0.8620689655172413,0.685
A021_3,A021,3,0.896551724137931,0.61
A021_4,A021,4,0.896551724137931,0.61
A022_1,A022,1,0.8620689655172413,0.675
A022_2,A022,2,0.8275862068965517,0.635
A022_3,A022,3,0.7586206896551724,0.555
A022_4,A022,4,0.7931034482758621,0.6
A023_1,A023,1,0.7931034482758621,0.745
A023_2,A023,2,0.7241379310344828,0.58
A023_3,A023,3,0.8620689655172413,0.595
A023_4,A023,4,0.7931034482758621,0.605
A024_1,A024,1,0.7586206896551724,0.695
A024_2,A024,2,0.8275862068965517,0.585
A024_3,A024,3,0.8620689655172413,0.595
A024_4,A024,4,0.7241379310344828,0.41
A025_1,A025,1,0.8620689655172413,0.705
A025_2,A025,2,0.9655172413793104,0.795
A025_3,A025,3,0.6551724137931034,0.66
A025_4,A025,4,0.41379310344827586,0.555
A026_1,A026,1,0.8275862068965517,0.775
A026_2,A026,2,0.7931034482758621,0.555
A026_3,A026,3,0.8620689655172413,0.765
A026_4,A026,4,0.7931034482758621,0.63
A027_1,A027,1,0.8275862068965517,0.82
A027_2,A027,2,0.8275862068965517,0.64
A027_3,A027,3,0.6896551724137931,0.545
A027_4,A027,4,0.6551724137931034,0.515
A028_1,A028,1,0.9655172413793104,0.76
A028_2,A028,2,0.8620689655172413,0.585
A028_3,A028,3,0.6551724137931034,0.605
A028_4,A028,4,0.8620689655172413,0.445
A029_1,A029,1,0.8620689655172413,0.86
A029_2,A029,2,0.7586206896551724,0.69
A029_3,A029,3,0.896551724137931,0.73
A029_4,A029,4,0.9310344827586207,0.725
A030_1,A030,1,0.7241379310344828,0.665
A030_2,A030,2,0.896551724137931,0.725
A030_3,A030,3,0.6551724137931034,0.64
A030_4,A030,4,0.7586206896551724,0.695
A031_1,A031,1,0.9655172413793104,0.885
A031_2,A031,2,0.7586206896551724,0.645
A031_3,A031,3,0.7931034482758621,0.575
A031_4,A031,4,0.7586206896551724,0.485
A032_1,A032,1,0.8448275862068966,0.68
A032_2,A032,2,0.7931034482758621,0.525
A032_3,A032,3,0.8620689655172413,0.645
A032_4,A032,4,0.9655172413793104,0.755
A033_1,A033,1,0.8620689655172413,0.675
A033_2,A033,2,0.7586206896551724,0.69
A033_3,A033,3,0.896551724137931,0.62
A033_4,A033,4,0.8275862068965517,0.505
A034_1,A034,1,0.896551724137931,0.86
A034_2,A034,2,0.8275862068965517,0.7
A034_3,A034,3,0.8275862068965517,0.54
A034_4,A034,4,0.7931034482758621,0.54
A035_1,A035,1,0.8275862068965517,0.545
A035_2,A035,2,0.8620689655172413,0.68
A035_3,A035,3,0.7586206896551724,0.525
A035_4,A035,4,0.7241379310344828,0.44
A036_1,A036,1,0.9310344827586207,0.815
A036_2,A036,2,0.7931034482758621,0.53
A036_3,A036,3,0.7758620689655172,0.54
A036_4,A036,4,0.7931034482758621,0.405
A037_1,A037,1,0.9310344827586207,0.745
A037_2,A037,2,0.9310344827586207,0.75
A037_3,A037,3,0.896551724137931,0.68
A037_4,A037,4,0.8275862068965517,0.59
A038_1,A038,1,0.9310344827586207,0.705
A038_2,A038,2,0.7586206896551724,0.625
A038_3,A038,3,0.8275862068965517,0.74
A038_4,A038,4,0.8275862068965517,0.535
A039_1,A039,1,0.9310344827586207,0.865
A039_2,A039,2,0.9310344827586207,0.85
A039_3,A039,3,0.7931034482758621,0.68
A039_4,A039,4,0.8275862068965517,0.745
A040_1,A040,1,0.7241379310344828,0.555
A040_2,A040,2,0.7241379310344828,0.6
A040_3,A040,3,0.5172413793103449,0.355
A040_4,A040,4,0.41379310344827586,0.425
A041_1,A041,1,0.896551724137931,0.735
A041_2,A041,2,0.6896551724137931,0.45
A041_3,A041,3,0.7931034482758621,0.74
A041_4,A041,4,0.7241379310344828,0.56
A042_1,A042,1,0.6206896551724138,0.515
A042_2,A042,2,0.8275862068965517,0.435
A042_3,A042,3,0.7931034482758621,0.52
A042_4,A042,4,0.6551724137931034,0.45
A043_1,A043,1,0.8620689655172413,0.83
A043_2,A043,2,0.8275862068965517,0.72
A043_3,A043,3,0.896551724137931,0.695
A043_4,A043,4,0.7586206896551724,0.465
A044_1,A044,1,0.8275862068965517,0.645
A044_2,A044,2,0.7241379310344828,0.555
A044_3,A044,3,0.6551724137931034,0.45
A044_4,A044,4,0.5517241379310345,0.35
A045_1,A045,1,0.7586206896551724,0.54
A045_2,A045,2,0.7931034482758621,0.41
A045_3,A045,3,0.7586206896551724,0.365
A045_4,A045,4,0.5172413793103449,0.48
A046_1,A046,1,0.6896551724137931,0.455
A046_2,A046,2,0.6551724137931034,0.35
A046_3,A046,3,0.3793103448275862,0.465
A046_4,A046,4,0.4827586206896552,0.46
A047_1,A047,1,0.7931034482758621,0.42
A047_2,A047,2,0.7241379310344828,0.545
A047_3,A047,3,0.5862068965517241,0.52
A047_4,A047,4,0.4827586206896552,0.455
A048_1,A048,1,0.9655172413793104,0.735
A048_2,A048,2,0.7586206896551724,0.615
A048_3,A048,3,0.8275862068965517,0.64
A048_4,A048,4,0.9310344827586207,0.52
A049_1,A049,1,0.9655172413793104,0.85
A049_2,A049,2,0.896551724137931,0.505
A049_3,A049,3,0.8275862068965517,0.61
A049_4,A049,4,0.6896551724137931,0.65
A050_1,A050,1,0.7586206896551724,0.505
A050_2,A050,2,0.6551724137931034,0.53
A050_3,A050,3,0.6551724137931034,0.465
A050_4,A050,4,0.6206896551724138,0.49
A051_1,A051,1,0.9310344827586207,0.79
A051_2,A051,2,0.6896551724137931,0.67
A051_3,A051,3,0.6896551724137931,0.57
A051_4,A051,4,0.6551724137931034,0.58
A052_1,A052,1,0.9310344827586207,0.665
A052_2,A052,2,0.896551724137931,0.685
A052_3,A052,3,0.896551724137931,0.545
A052_4,A052,4,0.7586206896551724,0.545
A053_1,A053,1,0.896551724137931,0.73
A053_2,A053,2,0.8275862068965517,0.8
A053_3,A053,3,0.7586206896551724,0.55
A053_4,A053,4,0.896551724137931,0.51
A054_1,A054,1,0.8275862068965517,0.69
A054_2,A054,2,0.8620689655172413,0.735
A054_3,A054,3,0.8620689655172413,0.74
A054_4,A054,4,0.9310344827586207,0.75
A055_1,A055,1,0.8620689655172413,0.67
A055_2,A055,2,0.8275862068965517,0.755
A055_3,A055,3,0.8275862068965517,0.585
A055_4,A055,4,0.8275862068965517,0.46
A056_1,A056,1,0.8275862068965517,0.665
A056_2,A056,2,0.896551724137931,0.605
A056_3,A056,3,0.7241379310344828,0.575
A056_4,A056,4,0.6551724137931034,0.485
A057_1,A057,1,0.8620689655172413,0.645
A057_2,A057,2,0.8275862068965517,0.45
A057_3,A057,3,0.7931034482758621,0.465
A057_4,A057,4,0.6896551724137931,0.365
A058_1,A058,1,0.8275862068965517,0.72
A058_2,A058,2,0.7586206896551724,0.47
A058_3,A058,3,0.6896551724137931,0.625
A058_4,A058,4,0.6551724137931034,0.44
A059_1,A059,1,0.9310344827586207,0.8
A059_2,A059,2,0.896551724137931,0.76
A059_3,A059,3,0.896551724137931,0.75
A059_4,A059,4,0.8620689655172413,0.605
A060_1,A060,1,0.896551724137931,0.575
A060_2,A060,2,0.9310344827586207,0.79
A060_3,A060,3,0.7586206896551724,0.555
A060_4,A060,4,0.8275862068965517,0.59
A061_1,A061,1,0.9655172413793104,0.885
A061_2,A061,2,0.9310344827586207,0.76
A061_3,A061,3,0.8620689655172413,0.65
A061_4,A061,4,0.7931034482758621,0.685
A062_1,A062,1,0.9655172413793104,0.71
A062_2,A062,2,0.896551724137931,0.6
A062_3,A062,3,0.6206896551724138,0.51
A062_4,A062,4,0.6896551724137931,0.485
A063_1,A063,1,0.9310344827586207,0.7
A063_2,A063,2,0.7931034482758621,0.74
A063_3,A063,3,0.8275862068965517,0.525
A063_4,A063,4,0.6896551724137931,0.515
A064_1,A064,1,0.896551724137931,0.68
A064_2,A064,2,0.8620689655172413,0.63
A064_3,A064,3,0.8275862068965517,0.54
A064_4,A064,4,0.8275862068965517,0.515
A065_1,A065,1,0.5172413793103449,0.37
A065_2,A065,2,0.6551724137931034,0.49
A065_3,A065,3,0.41379310344827586,0.365
A065_4,A065,4,0.3448275862068966,0.35
A066_1,A066,1,0.896551724137931,0.6
A066_2,A066,2,0.7931034482758621,0.525
A066_3,A066,3,0.6206896551724138,0.42
A066_4,A066,4,0.6206896551724138,0.405
A067_1,A067,1,0.896551724137931,0.66
A067_2,A067,2,0.6551724137931034,0.43
A067_3,A067,3,0.6206896551724138,0.425
A067_4,A067,4,0.5862068965517241,0.4
A068_1,A068,1,0.8620689655172413,0.8
A068_2,A068,2,0.8275862068965517,0.6
A068_3,A068,3,0.8620689655172413,0.6
A068_4,A068,4,0.7241379310344828,0.53
A069_1,A069,1,0.8275862068965517,0.45
A069_2,A069,2,0.6551724137931034,0.425
A069_3,A069,3,0.7241379310344828,0.495
A069_4,A069,4,0.5172413793103449,0.375
A070_1,A070,1,0.8620689655172413,0.715
A070_2,A070,2,0.8620689655172413,0.56
A070_3,A070,3,0.7586206896551724,0.495
A070_4,A070,4,0.7586206896551724,0.395
A071_1,A071,1,0.9310344827586207,0.68
A071_2,A071,2,0.8620689655172413,0.67
A071_3,A071,3,0.5517241379310345,0.525
A071_4,A071,4,0.6551724137931034,0.575
A072_1,A072,1,0.8620689655172413,0.76
A072_2,A072,2,0.7586206896551724,0.675
A072_3,A072,3,0.6896551724137931,0.615
A072_4,A072,4,0.6896551724137931,0.72
A073_1,A073,1,0.8620689655172413,0.685
A073_2,A073,2,0.6551724137931034,0.565
A073_3,A073,3,0.7586206896551724,0.595
A073_4,A073,4,0.7586206896551724,0.74
A074_1,A074,1,0.8275862068965517,0.78
A074_2,A074,2,0.6551724137931034,0.655
A074_3,A074,3,0.6551724137931034,0.575
A074_4,A074,4,0.5517241379310345,0.48
A075_1,A075,1,0.7241379310344828,0.69
A075_2,A075,2,0.7586206896551724,0.65
A075_3,A075,3,0.5862068965517241,0.32
A075_4,A075,4,0.5862068965517241,0.485
A076_1,A076,1,0.6896551724137931,0.505
A076_2,A076,2,0.7586206896551724,0.48
A076_3,A076,3,0.5517241379310345,0.44
A076_4,A076,4,0.41379310344827586,0.3
A077_1,A077,1,0.9655172413793104,0.685
A077_2,A077,2,0.8620689655172413,0.585
A077_3,A077,3,0.8275862068965517,0.555
A077_4,A077,4,0.896551724137931,0.705
A078_1,A078,1,0.7931034482758621,0.645
A078_2,A078,2,0.7931034482758621,0.63
A078_3,A078,3,0.6896551724137931,0.52
A078_4,A078,4,0.7586206896551724,0.365
A079_1,A079,1,0.7586206896551724,0.785
A079_2,A079,2,0.6206896551724138,0.545
A079_3,A079,3,0.6551724137931034,0.51
A079_4,A079,4,0.6551724137931034,0.44
A080_1,A080,1,0.8275862068965517,0.69
A080_2,A080,2,0.8275862068965517,0.66
A080_3,A080,3,0.8620689655172413,0.645
A080_4,A080,4,0.6551724137931034,0.505
A081_1,A081,1,0.7931034482758621,0.63
A081_2,A081,2,0.7241379310344828,0.595
A081_3,A081,3,0.896551724137931,0.735
A081_4,A081,4,0.8275862068965517,0.65
A082_1,A082,1,0.896551724137931,0.645
A082_2,A082,2,0.9310344827586207,0.775
A082_3,A082,3,0.8620689655172413,0.56
A082_4,A082,4,0.8275862068965517,0.58
A083_1,A083,1,0.896551724137931,0.825
A083_2,A083,2,0.8620689655172413,0.675
A083_3,A083,3,0.7931034482758621,0.585
A083_4,A083,4,0.6896551724137931,0.64
A084_1,A084,1,0.7931034482758621,0.75
A084_2,A084,2,0.6206896551724138,0.57
A084_3,A084,3,0.7586206896551724,0.64
A084_4,A084,4,0.6896551724137931,0.665
A085_1,A085,1,0.7586206896551724,0.685
A085_2,A085,2,0.8275862068965517,0.8
A085_3,A085,3,0.8275862068965517,0.6
A085_4,A085,4,0.4482758620689655,0.56
A086_1,A086,1,0.8620689655172413,0.695
A086_2,A086,2,0.6551724137931034,0.63
A086_3,A086,3,0.6206896551724138,0.385
A086_4,A086,4,0.7241379310344828,0.345
A087_1,A087,1,0.9655172413793104,0.85
A087_2,A087,2,0.8620689655172413,0.775
A087_3,A087,3,0.7931034482758621,0.59
A087_4,A087,4,0.896551724137931,0.565
A088_1,A088,1,0.8275862068965517,0.87
A088_2,A088,2,0.9655172413793104,0.925
A088_3,A088,3,0.7931034482758621,0.675
A088_4,A088,4,0.8275862068965517,0.78
A089_1,A089,1,0.896551724137931,0.815
A089_2,A089,2,0.8620689655172413,0.715
A089_3,A089,3,0.8620689655172413,0.695
A089_4,A089,4,0.7931034482758621,0.75
A090_1,A090,1,0.7931034482758621,0.68
A090_2,A090,2,0.6206896551724138,0.565
A090_3,A090,3,0.3793103448275862,0.48
A090_4,A090,4,0.6551724137931034,0.38
A091_1,A091,1,0.8275862068965517,0.695
A091_2,A091,2,0.7586206896551724,0.57
A091_3,A091,3,0.6551724137931034,0.465
A091_4,A091,4,0.7931034482758621,0.435
A092_1,A092,1,0.6551724137931034,0.58
A092_2,A092,2,0.6896551724137931,0.49
A092_3,A092,3,0.6896551724137931,0.565
A092_4,A092,4,0.5862068965517241,0.465
A093_1,A093,1,0.8275862068965517,0.68
A093_2,A093,2,0.7931034482758621,0.59
A093_3,A093,3,0.9310344827586207,0.64
A093_4,A093,4,0.7241379310344828,0.67
A094_1,A094,1,0.7586206896551724,0.44
A094_2,A094,2,0.7241379310344828,0.54
A094_3,A094,3,0.6206896551724138,0.4
A094_4,A094,4,0.6551724137931034,0.43
A095_1,A095,1,0.896551724137931,0.74
A095_2,A095,2,0.6896551724137931,0.56
A095_3,A095,3,0.7241379310344828,0.48
A095_4,A095,4,0.7241379310344828,0.45
A096_1,A096,1,0.6206896551724138,0.52
A096_2,A096,2,0.41379310344827586,0.49
A096_3,A096,3,0.3448275862068966,0.35
A096_4,A096,4,0.4482758620689655,0.445
A097_1,A097,1,0.896551724137931,0.565
A097_2,A097,2,0.7241379310344828,0.58
A097_3,A097,3,0.7586206896551724,0.7
A097_4,A097,4,0.8620689655172413,0.655
A098_1,A098,1,0.8275862068965517,0.69
A098_2,A098,2,0.7586206896551724,0.645
A098_3,A098,3,0.8275862068965517,0.745
A098_4,A098,4,0.7931034482758621,0.42
A099_1,A099,1,0.8620689655172413,0.795
A099_2,A099,2,0.8620689655172413,0.78
A099_3,A099,3,0.7241379310344828,0.58
A099_4,A099,4,0.7931034482758621,0.745
A100_1,A100,1,0.6206896551724138,0.575
A100_2,A100,2,1.0,0.65
A100_3,A100,3,0.896551724137931,0.605
A100_4,A100,4,0.7586206896551724,0.535
A101_1,A101,1,0.5862068965517241,0.465
A101_2,A101,2,0.6206896551724138,0.515
A101_3,A101,3,0.6551724137931034,0.375
A101_4,A101,4,0.4827586206896552,0.495
A102_1,A102,1,0.8275862068965517,0.62
A102_2,A102,2,0.9310344827586207,0.705
A102_3,A102,3,0.7586206896551724,0.55
A102_4,A102,4,0.7241379310344828,0.49
A103_1,A103,1,0.9310344827586207,0.82
A103_2,A103,2,0.7241379310344828,0.45
A103_3,A103,3,0.5862068965517241,0.45
A103_4,A103,4,0.6896551724137931,0.49
A104_1,A104,1,0.896551724137931,0.78
A104_2,A104,2,0.7586206896551724,0.615
A104_3,A104,3,0.896551724137931,0.635
A104_4,A104,4,0.5172413793103449,0.33
A105_1,A105,1,0.8275862068965517,0.66
A105_2,A105,2,0.7586206896551724,0.705
A105_3,A105,3,0.7931034482758621,0.52
A105_4,A105,4,0.7586206896551724,0.705
A106_1,A106,1,1.0,0.7
A106_2,A106,2,0.7931034482758621,0.65
A106_3,A106,3,0.896551724137931,0.67
A106_4,A106,4,0.9310344827586207,0.71
A107_1,A107,1,0.7586206896551724,0.485
A107_2,A107,2,0.5862068965517241,0.42
A107_3,A107,3,0.6206896551724138,0.415
A107_4,A107,4,0.5517241379310345,0.36
A108_1,A108,1,0.6896551724137931,0.585
A108_2,A108,2,0.5862068965517241,0.43
A108_3,A108,3,0.5862068965517241,0.62
A108_4,A108,4,0.4482758620689655,0.425
A109_1,A109,1,0.7586206896551724,0.465
A109_2,A109,2,0.6206896551724138,0.455
A109_3,A109,3,0.7241379310344828,0.48
A109_4,A109,4,0.6551724137931034,0.375
