item_name,dimension,a,b,retention_reason
TQ_ICR-D-i1,common,0.5547696,0.8479456305503845,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-D-i2,common,0.6505643,1.448232650756836,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-D-i3,congruent,1.3287241,0.4894937574863434,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-D-i5,incongruent,0.43858415,2.8949666023254395,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-D-i6,incongruent,0.8632621,1.2050131559371948,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-N-i1,common,1.5361515,-1.772204041481018,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-N-i2,common,0.57776815,-2.738479852676392,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-N-i3,congruent,1.0696199,-2.848784208297729,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-N-i4,congruent,1.3736296,-2.109750270843506,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-N-i5,incongruent,1.4197546,-1.7748212814331057,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-N-i6,incongruent,1.1975245,-2.0219080448150635,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-O-i1,common,0.6058125,2.2534773349761963,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-O-i3,congruent,0.4749564,1.270026683807373,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-O-i4,congruent,0.44243085,2.2496557235717773,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-U-i1,common,3.0104647,-0.2032170593738556,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-U-i2,common,0.9191704,-0.955312430858612,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-U-i3,congruent,1.7618554,-0.5275906324386597,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-U-i4,congruent,0.7135705,-0.7632612586021423,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-U-i5,incongruent,2.5928972,-0.0744585022330284,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-U-i6,incongruent,1.0833249,-0.4821746349334717,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-D-i1,common,0.45144004,1.4628393650054932,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-D-i2,common,0.5170784,1.8123869895935056,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-D-i3,congruent,1.049925,0.6577876210212708,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-N-i1,common,1.366251,-0.3059522211551666,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-N-i2,common,0.6181922,-0.1532846093177795,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-N-i3,congruent,1.0549165,-0.3756866455078125,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-N-i4,congruent,0.5966891,-0.6610288619995117,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-N-i5,incongruent,1.3737968,0.4805815815925598,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-N-i6,incongruent,0.8473577,0.5306745171546936,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-O-i3,congruent,0.45659938,0.9746843576431274,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-U-i1,common,1.4952922,-0.0191539525985717,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-U-i2,common,0.67673624,-0.2230502963066101,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-U-i3,congruent,1.1674584,-0.0787801444530487,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-U-i4,congruent,0.47689247,-0.1366817951202392,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-U-i5,incongruent,1.1216047,0.2990365624427795,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-U-i6,incongruent,0.5641815,0.3459649980068207,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IRE-D-i1,common,0.66115236,0.8191142082214355,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IRE-D-i2,common,0.49991992,1.4761124849319458,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IRE-D-i3,congruent,1.3286766,0.3216424882411957,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IRE-D-i6,incongruent,0.8706653,1.056462287902832,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IRE-N-i1,common,1.5471023,-2.44312047958374,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IRE-N-i4,congruent,1.1661282,-2.0142173767089844,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IRE-O-i1,common,0.5135039,2.3182029724121094,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IRE-O-i3,congruent,0.45892054,1.2606472969055176,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IRE-U-i1,common,2.0991201,-0.3518005311489105,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IRE-U-i2,common,0.76526785,-1.582264423370361,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IRE-U-i3,congruent,1.9700738,-0.5296034216880798,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IRE-U-i4,congruent,0.7834504,-0.7077082395553589,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IRE-U-i5,incongruent,2.3253298,-0.2034104019403457,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IRE-U-i6,incongruent,0.8580997,-0.8146198987960815,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
