Segment,LocationType,Days_within,theta,CI_lower,CI_upper,n_obs,Data_Type
Early,Source,0.5798044217687074,0.5759891291948365,0.5495246644558945,0.6020248257991585,196,observed
Early,Destination,0.5798044217687074,0.5640438771770518,0.5349310259907357,0.5927218329060394,196,observed
Late,Source,2.5045710784313724,0.4161436912830042,0.3885613439484266,0.4442613755644807,204,observed
Late,Destination,2.5045710784313724,0.44917167174812833,0.424020082605333,0.47458589398451884,204,observed
Early,Source,0.0,0.6048932786764589,,,0,predicted
Early,Source,0.10526315789473684,0.5996936749333818,,,0,predicted
Early,Source,0.21052631578947367,0.5944715186330306,,,0,predicted
Early,Source,0.3157894736842105,0.5892279008673399,,,0,predicted
Early,Source,0.42105263157894735,0.5839639318661173,,,0,predicted
Early,Source,0.5263157894736842,0.5786807401177958,,,0,predicted
Early,Source,0.631578947368421,0.5733794714560158,,,0,predicted
Early,Source,0.7368421052631579,0.5680612881134872,,,0,predicted
Early,Source,0.8421052631578947,0.5627273677446835,,,0,predicted
Early,Source,0.9473684210526315,0.5573789024190227,,,0,predicted
Early,Source,1.0526315789473684,0.5520170975862844,,,0,predicted
Early,Source,1.1578947368421053,0.546643171016102,,,0,predicted
Early,Source,1.263157894736842,0.5412583517134575,,,0,predicted
Early,Source,1.3684210526315788,0.5358638788121803,,,0,predicted
Early,Source,1.4736842105263157,0.5304610004485341,,,0,predicted
Early,Source,1.5789473684210527,0.5250509726170309,,,0,predicted
Early,Source,1.6842105263157894,0.5196350580106831,,,0,predicted
Early,Source,1.789473684210526,0.514214524847947,,,0,predicted
Early,Source,1.894736842105263,0.5087906456886645,,,0,predicted
Early,Source,2.0,0.503364696241342,,,0,predicted
Early,Destination,0.0,0.5935944509768871,,,0,predicted
Early,Destination,0.10526315789473684,0.5882731255944497,,,0,predicted
Early,Destination,0.21052631578947367,0.5829310798329835,,,0,predicted
Early,Destination,0.3157894736842105,0.5775694941356783,,,0,predicted
Early,Destination,0.42105263157894735,0.5721895670979068,,,0,predicted
Early,Destination,0.5263157894736842,0.5667925144454834,,,0,predicted
Early,Destination,0.631578947368421,0.5613795679793883,,,0,predicted
Early,Destination,0.7368421052631579,0.5559519744888072,,,0,predicted
Early,Destination,0.8421052631578947,0.5505109946344393,,,0,predicted
Early,Destination,0.9473684210526315,0.5450579018041264,,,0,predicted
Early,Destination,1.0526315789473684,0.5395939809429514,,,0,predicted
Early,Destination,1.1578947368421053,0.5341205273600395,,,0,predicted
Early,Destination,1.263157894736842,0.5286388455143779,,,0,predicted
Early,Destination,1.3684210526315788,0.5231502477820413,,,0,predicted
Early,Destination,1.4736842105263157,0.5176560532072737,,,0,predicted
Early,Destination,1.5789473684210527,0.5121575862399357,,,0,predicted
Early,Destination,1.6842105263157894,0.506656175461874,,,0,predicted
Early,Destination,1.789473684210526,0.5011531523048056,,,0,predicted
Early,Destination,1.894736842105263,0.4956498497623434,,,0,predicted
Early,Destination,2.0,0.49014760109880817,,,0,predicted
Late,Source,0.0,0.48049894896927337,,,0,predicted
Late,Source,0.13559322033898305,0.47697849444511914,,,0,predicted
Late,Source,0.2711864406779661,0.4734603258395594,,,0,predicted
Late,Source,0.4067796610169492,0.4699447906470767,,,0,predicted
Late,Source,0.5423728813559322,0.46643223531850075,,,0,predicted
Late,Source,0.6779661016949152,0.4629230051251206,,,0,predicted
Late,Source,0.8135593220338984,0.4594174440237882,,,0,predicted
Late,Source,0.9491525423728814,0.45591589452312253,,,0,predicted
Late,Source,1.0847457627118644,0.4524186975509252,,,0,predicted
Late,Source,1.2203389830508475,0.44892619232291464,,,0,predicted
Late,Source,1.3559322033898304,0.4454387162128856,,,0,predicted
Late,Source,1.4915254237288136,0.44195660462439745,,,0,predicted
Late,Source,1.6271186440677967,0.43848019086409284,,,0,predicted
Late,Source,1.7627118644067796,0.43500980601674705,,,0,predicted
Late,Source,1.8983050847457628,0.43154577882214495,,,0,predicted
Late,Source,2.0338983050847457,0.42808843555387943,,,0,predicted
Late,Source,2.169491525423729,0.42463809990016377,,,0,predicted
Late,Source,2.305084745762712,0.4211950928467472,,,0,predicted
Late,Source,2.440677966101695,0.41775973256201854,,,0,predicted
Late,Source,2.5762711864406778,0.41433233428438304,,,0,predicted
Late,Source,2.711864406779661,0.4109132102119913,,,0,predicted
Late,Source,2.847457627118644,0.4075026693948961,,,0,predicted
Late,Source,2.983050847457627,0.4041010176297138,,,0,predicted
Late,Source,3.1186440677966103,0.4007085573568568,,,0,predicted
Late,Source,3.2542372881355934,0.3973255875604064,,,0,predicted
Late,Source,3.389830508474576,0.39395240367068984,,,0,predicted
Late,Source,3.5254237288135593,0.39058929746961757,,,0,predicted
Late,Source,3.6610169491525424,0.3872365569988422,,,0,predicted
Late,Source,3.7966101694915255,0.38389446647078684,,,0,predicted
Late,Source,3.9322033898305087,0.38056330618259543,,,0,predicted
Late,Source,4.067796610169491,0.37724335243304746,,,0,predicted
Late,Source,4.203389830508475,0.3739348774424806,,,0,predicted
Late,Source,4.338983050847458,0.37063814927575744,,,0,predicted
Late,Source,4.47457627118644,0.36735343176831164,,,0,predicted
Late,Source,4.610169491525424,0.36408098445530207,,,0,predicted
Late,Source,4.745762711864407,0.3608210625039034,,,0,predicted
Late,Source,4.88135593220339,0.3575739166487545,,,0,predicted
Late,Source,5.016949152542373,0.35433979313058367,,,0,predicted
Late,Source,5.1525423728813555,0.3511189336380271,,,0,predicted
Late,Source,5.288135593220339,0.3479115752526509,,,0,predicted
Late,Source,5.423728813559322,0.34471795039718656,,,0,predicted
Late,Source,5.559322033898305,0.3415382867869819,,,0,predicted
Late,Source,5.694915254237288,0.3383728073846711,,,0,predicted
Late,Source,5.830508474576271,0.3352217303580587,,,0,predicted
Late,Source,5.966101694915254,0.33208526904121416,,,0,predicted
Late,Source,6.101694915254237,0.3289636318987657,,,0,predicted
Late,Source,6.237288135593221,0.3258570224933817,,,0,predicted
Late,Source,6.372881355932203,0.32276563945642345,,,0,predicted
Late,Source,6.508474576271187,0.31968967646175134,,,0,predicted
Late,Source,6.6440677966101696,0.3166293222026604,,,0,predicted
Late,Source,6.779661016949152,0.31358476037192246,,,0,predicted
Late,Source,6.915254237288136,0.31055616964490534,,,0,predicted
Late,Source,7.0508474576271185,0.3075437236657391,,,0,predicted
Late,Source,7.186440677966102,0.3045475910364962,,,0,predicted
Late,Source,7.322033898305085,0.30156793530934806,,,0,predicted
Late,Source,7.4576271186440675,0.298604914981662,,,0,predicted
Late,Source,7.593220338983051,0.2956586834939946,,,0,predicted
Late,Source,7.728813559322034,0.2927293892309406,,,0,predicted
Late,Source,7.864406779661017,0.2898171755247907,,,0,predicted
Late,Source,8.0,0.2869221806619507,,,0,predicted
Late,Destination,0.0,0.47799498425974757,,,0,predicted
Late,Destination,0.13559322033898305,0.4764290318037066,,,0,predicted
Late,Destination,0.2711864406779661,0.47486354264764247,,,0,predicted
Late,Destination,0.4067796610169492,0.47329854741105376,,,0,predicted
Late,Destination,0.5423728813559322,0.4717340766746674,,,0,predicted
Late,Destination,0.6779661016949152,0.47017016097805864,,,0,predicted
Late,Destination,0.8135593220338984,0.4686068308172778,,,0,predicted
Late,Destination,0.9491525423728814,0.467044116642483,,,0,predicted
Late,Destination,1.0847457627118644,0.4654820488555824,,,0,predicted
Late,Destination,1.2203389830508475,0.46392065780788316,,,0,predicted
Late,Destination,1.3559322033898304,0.46235997379774935,,,0,predicted
Late,Destination,1.4915254237288136,0.46080002706826806,,,0,predicted
Late,Destination,1.6271186440677967,0.4592408478049257,,,0,predicted
Late,Destination,1.7627118644067796,0.45768246613329266,,,0,predicted
Late,Destination,1.8983050847457628,0.4561249121167187,,,0,predicted
Late,Destination,2.0338983050847457,0.45456821575403855,,,0,predicted
Late,Destination,2.169491525423729,0.4530124069772874,,,0,predicted
Late,Destination,2.305084745762712,0.45145751564942826,,,0,predicted
Late,Destination,2.440677966101695,0.4499035715620905,,,0,predicted
Late,Destination,2.5762711864406778,0.4483506044333199,,,0,predicted
Late,Destination,2.711864406779661,0.4467986439053407,,,0,predicted
Late,Destination,2.847457627118644,0.4452477195423306,,,0,predicted
Late,Destination,2.983050847457627,0.44369786082820784,,,0,predicted
Late,Destination,3.1186440677966103,0.44214909716443224,,,0,predicted
Late,Destination,3.2542372881355934,0.4406014578678188,,,0,predicted
Late,Destination,3.389830508474576,0.43905497216836575,,,0,predicted
Late,Destination,3.5254237288135593,0.4375096692070969,,,0,predicted
Late,Destination,3.6610169491525424,0.43596557803391733,,,0,predicted
Late,Destination,3.7966101694915255,0.43442272760548534,,,0,predicted
Late,Destination,3.9322033898305087,0.43288114678309864,,,0,predicted
Late,Destination,4.067796610169491,0.43134086433059615,,,0,predicted
Late,Destination,4.203389830508475,0.4298019089122752,,,0,predicted
Late,Destination,4.338983050847458,0.42826430909082597,,,0,predicted
Late,Destination,4.47457627118644,0.42672809332528083,,,0,predicted
Late,Destination,4.610169491525424,0.4251932899689809,,,0,predicted
Late,Destination,4.745762711864407,0.4236599272675603,,,0,predicted
Late,Destination,4.88135593220339,0.4221280333569462,,,0,predicted
Late,Destination,5.016949152542373,0.4205976362613778,,,0,predicted
Late,Destination,5.1525423728813555,0.41906876389144215,,,0,predicted
Late,Destination,5.288135593220339,0.41754144404212873,,,0,predicted
Late,Destination,5.423728813559322,0.41601570439090163,,,0,predicted
Late,Destination,5.559322033898305,0.4144915724957912,,,0,predicted
Late,Destination,5.694915254237288,0.41296907579350417,,,0,predicted
Late,Destination,5.830508474576271,0.4114482415975526,,,0,predicted
Late,Destination,5.966101694915254,0.409929097096403,,,0,predicted
Late,Destination,6.101694915254237,0.40841166935164436,,,0,predicted
Late,Destination,6.237288135593221,0.4068959852961763,,,0,predicted
Late,Destination,6.372881355932203,0.405382071732418,,,0,predicted
Late,Destination,6.508474576271187,0.4038699553305359,,,0,predicted
Late,Destination,6.6440677966101696,0.40235966262669387,,,0,predicted
Late,Destination,6.779661016949152,0.40085122002132256,,,0,predicted
Late,Destination,6.915254237288136,0.3993446537774109,,,0,predicted
Late,Destination,7.0508474576271185,0.39783999001881837,,,0,predicted
Late,Destination,7.186440677966102,0.3963372547286084,,,0,predicted
Late,Destination,7.322033898305085,0.3948364737474038,,,0,predicted
Late,Destination,7.4576271186440675,0.3933376727717641,,,0,predicted
Late,Destination,7.593220338983051,0.39184087735258427,,,0,predicted
Late,Destination,7.728813559322034,0.3903461128935166,,,0,predicted
Late,Destination,7.864406779661017,0.3888534046494137,,,0,predicted
Late,Destination,8.0,0.38736277772479516,,,0,predicted
