composite_ID,UID,test,TQ_ICR-D-i1,TQ_ICR-D-i2,TQ_ICR-D-i3,TQ_ICR-D-i4,TQ_ICR-D-i5,TQ_ICR-D-i6,TQ_ICR-U-i1,TQ_ICR-U-i2,TQ_ICR-U-i3,TQ_ICR-U-i4,TQ_ICR-U-i5,TQ_ICR-U-i6,TQ_IFR-D-i2,TQ_IFR-D-i3,TQ_IFR-D-i5,TQ_IFR-D-i6,TQ_IFR-U-i1,TQ_IFR-U-i2,TQ_IFR-U-i3,TQ_IFR-U-i5,TQ_IFR-U-i6,TQ_IRE-D-i1,TQ_IRE-D-i2,TQ_IRE-D-i3,TQ_IRE-D-i5,TQ_IRE-D-i6,TQ_IRE-U-i1,TQ_IRE-U-i2,TQ_IRE-U-i3,TQ_IRE-U-i4,TQ_IRE-U-i5,TQ_IRE-U-i6
A010_1,A010,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A010_2,A010,2,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.25,1.0,0.5,0.5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.0
A010_3,A010,3,0.0,0.25,0.0,1.0,0.5,0.0,0.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.5,1.0,0.0,0.25,0.0,0.25,0.0,0.0,1.0,1.0,1.0,0.0,1.0
A010_4,A010,4,0.5,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
A011_1,A011,1,0.0,1.0,1.0,0.0,0.5,1.0,1.0,0.5,0.0,0.25,0.0,1.0,1.0,1.0,1.0,0.25,1.0,0.25,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
A011_2,A011,2,1.0,0.0,0.0,0.25,1.0,0.0,1.0,1.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.25,0.5,0.5,1.0,0.0,0.25,1.0,0.0,1.0,1.0,0.25,1.0,0.5,1.0
A011_3,A011,3,1.0,0.25,1.0,1.0,0.0,0.0,0.25,0.0,1.0,0.5,0.25,1.0,0.25,1.0,0.0,0.0,0.25,0.0,1.0,0.25,1.0,1.0,0.25,0.5,0.0,0.0,0.25,0.0,1.0,0.5,0.25,1.0
A011_4,A011,4,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.25,0.5,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.25,1.0,0.5,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0
A012_1,A012,1,0.0,0.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A012_2,A012,2,0.5,0.0,0.5,0.5,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5
A012_3,A012,3,0.25,0.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0
A012_4,A012,4,1.0,0.0,0.25,0.0,0.0,0.5,1.0,0.0,0.25,0.5,0.0,0.5,0.5,0.25,0.0,0.5,1.0,1.0,0.25,1.0,0.5,1.0,0.0,0.25,0.5,0.5,1.0,0.5,0.25,0.0,0.0,0.5
A013_1,A013,1,0.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,1.0,0.0,0.5,0.25,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0
A013_2,A013,2,1.0,0.0,0.0,0.5,0.0,0.5,0.25,1.0,0.0,0.5,0.0,1.0,0.25,0.0,1.0,1.0,0.25,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,1.0,0.0,1.0
A013_3,A013,3,1.0,0.25,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,1.0,0.0,0.5,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
A013_4,A013,4,1.0,0.0,0.5,0.5,1.0,0.25,0.0,0.25,0.5,1.0,0.5,0.0,0.0,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5,0.5,1.0,0.25,1.0
A014_1,A014,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.25,1.0,1.0,1.0,1.0,1.0,0.0
A014_2,A014,2,1.0,0.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
A014_3,A014,3,0.5,0.5,0.0,0.0,0.25,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.5,0.0,0.25,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.0,0.25,1.0,1.0,1.0,1.0,0.5,0.0,0.25
A014_4,A014,4,0.5,0.5,0.5,0.0,0.0,0.0,0.25,1.0,0.25,1.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.5,1.0,1.0,1.0,0.0,0.0,0.25,1.0,0.25,1.0,0.5,0.5
A015_1,A015,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A015_2,A015,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
A015_3,A015,3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
A015_4,A015,4,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.0,0.0,1.0,0.5,0.25,1.0,0.5,1.0,0.5,0.0,0.0,0.25,1.0,0.5,1.0,1.0,1.0
A016_1,A016,1,0.0,0.0,0.25,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A016_2,A016,2,1.0,0.5,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A016_3,A016,3,0.5,0.0,0.0,0.25,0.0,0.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.25,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0
A016_4,A016,4,0.5,0.0,0.5,0.25,0.0,0.0,0.5,0.5,0.25,0.0,0.5,1.0,1.0,0.5,0.5,0.0,0.25,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.0,0.5,1.0,0.5,0.0,1.0,1.0
A017_1,A017,1,1.0,0.25,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.25,0.0,0.25,0.5,0.0,0.0,1.0,1.0,0.5,0.5,1.0,0.25,0.25,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.25,1.0
A017_2,A017,2,0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.5,0.0,0.0,0.25,1.0,0.5,1.0,1.0,1.0,0.25,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
A017_3,A017,3,0.0,0.0,1.0,0.25,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,0.5,1.0,0.0,0.0,1.0,0.5,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.5,1.0,1.0,0.5,1.0,1.0
A017_4,A017,4,0.5,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
A018_1,A018,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.25,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25
A018_2,A018,2,1.0,0.5,0.0,0.5,0.0,1.0,0.25,1.0,0.0,0.25,1.0,1.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.25,1.0,1.0,0.5,1.0,1.0
A018_3,A018,3,0.5,0.0,0.0,0.0,0.5,0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,0.0,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,1.0
A018_4,A018,4,1.0,0.0,0.5,0.0,0.25,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,0.5,0.5,0.25,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.0
A019_1,A019,1,0.5,0.0,0.5,1.0,0.0,0.0,0.5,1.0,0.0,1.0,0.5,1.0,0.5,0.5,0.0,0.0,0.5,1.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.25,0.5,1.0,0.0,1.0,1.0,0.0
A019_2,A019,2,0.5,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.25,0.5,1.0,0.0,0.0,1.0,0.0,0.5,1.0,1.0,1.0,0.25,0.0,0.0
A019_3,A019,3,0.5,0.5,0.5,0.0,0.0,1.0,0.25,1.0,0.0,1.0,0.25,0.5,0.25,0.25,0.0,1.0,0.0,0.5,0.0,1.0,0.5,0.5,0.5,0.25,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
A019_4,A019,4,1.0,1.0,0.0,1.0,0.0,0.0,0.25,0.5,0.0,0.0,1.0,0.25,0.5,0.0,0.0,0.0,1.0,0.5,0.0,0.25,0.25,0.5,0.5,0.0,0.0,0.0,0.25,0.5,0.0,0.0,1.0,0.5
A020_1,A020,1,0.5,0.25,0.0,0.0,0.0,0.25,1.0,0.5,1.0,1.0,1.0,0.0,0.25,0.5,0.0,0.0,1.0,0.25,1.0,1.0,0.0,0.5,0.25,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.25
A020_2,A020,2,0.0,0.0,0.25,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.25,0.0,0.5,1.0,0.5,1.0,0.25,0.5,0.5,0.5,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A020_3,A020,3,1.0,0.5,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.5,0.0,0.25,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
A020_4,A020,4,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.5,0.5,0.25,0.0,1.0,0.25,0.25,1.0,0.0,0.0,0.0,0.5
A021_1,A021,1,0.5,0.5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
A021_2,A021,2,0.0,0.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0.0,1.0,1.0,1.0,0.5,0.5
A021_3,A021,3,0.5,1.0,0.5,0.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.25,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.25,0.0,0.0,1.0,1.0,1.0,0.5,0.5,1.0
A021_4,A021,4,0.5,0.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.25,0.0,0.25,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0
A022_1,A022,1,0.0,0.0,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.0,1.0,0.5,1.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0
A022_2,A022,2,1.0,0.25,0.25,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0,0.5,1.0,0.25,0.5,0.5,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
A022_3,A022,3,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.0,0.5,1.0,0.25,1.0,1.0,0.25,0.5,0.25,1.0,0.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5
A022_4,A022,4,0.5,0.0,1.0,0.25,0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
A023_1,A023,1,1.0,0.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.25,1.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0
A023_2,A023,2,1.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.0,0.5,0.0,1.0,1.0,0.0,0.5,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
A023_3,A023,3,0.0,0.5,1.0,0.25,0.5,0.25,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.25,1.0,0.25,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5
A023_4,A023,4,0.25,1.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,0.5,0.25,0.25,1.0,1.0,0.5,0.0,1.0,0.25,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.25
A024_1,A024,1,0.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0,1.0,1.0,0.5,1.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.25,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0
A024_2,A024,2,1.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0
A024_3,A024,3,0.5,0.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,1.0,0.5,0.0,1.0,0.5,1.0,0.5,1.0,0.0,1.0,0.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0
A024_4,A024,4,0.0,1.0,0.25,0.5,0.25,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.5,0.0,1.0,0.25,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.25
A025_1,A025,1,1.0,0.0,0.0,1.0,0.0,0.5,1.0,1.0,1.0,0.25,1.0,1.0,0.0,1.0,0.0,0.5,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.25,1.0,1.0
A025_2,A025,2,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
A025_3,A025,3,0.0,0.5,1.0,1.0,0.0,0.0,0.25,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
A025_4,A025,4,0.0,0.5,0.0,0.25,1.0,0.25,1.0,0.5,1.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.25,0.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5
A026_1,A026,1,1.0,0.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.25,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
A026_2,A026,2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.25,1.0,1.0,1.0,0.0
A026_3,A026,3,1.0,0.5,1.0,1.0,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.25,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
A026_4,A026,4,1.0,1.0,0.5,0.25,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.25,1.0,0.5,0.5,0.25,0.5,1.0,1.0,1.0,0.0,0.0
A027_1,A027,1,1.0,0.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0
A027_2,A027,2,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.25,1.0,0.25,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
A027_3,A027,3,0.5,1.0,0.0,0.5,0.0,0.5,0.25,1.0,0.0,1.0,0.25,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.5,0.0,0.25,1.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,1.0,1.0
A027_4,A027,4,1.0,0.0,0.5,0.25,1.0,1.0,0.5,1.0,0.25,1.0,1.0,0.0,0.0,0.5,0.0,0.25,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0,0.0,1.0,1.0,1.0,0.5,0.0
A028_1,A028,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.25,1.0,1.0
A028_2,A028,2,1.0,0.0,0.0,1.0,0.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,0.0,0.5,0.0,1.0,0.5,1.0,1.0,0.25,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0
A028_3,A028,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.25,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.25,1.0,1.0,0.25,1.0,0.0,1.0,1.0
A028_4,A028,4,1.0,0.0,1.0,1.0,0.5,0.0,0.25,1.0,0.25,0.0,0.0,0.25,0.0,1.0,0.0,1.0,0.5,0.25,1.0,0.0,0.5,1.0,0.5,0.0,0.25,0.0,0.25,0.5,0.25,0.0,0.0,1.0
A029_1,A029,1,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
