composite_ID,UID,TSVR_hours,test
A010_T1,A010,1.0,T1
A010_T2,A010,21.9,T2
A010_T3,A010,80.88,T3
A010_T4,A010,145.31,T4
A011_T1,A011,1.0,T1
A011_T2,A011,24.57,T2
A011_T3,A011,72.55,T3
A011_T4,A011,148.85,T4
A012_T1,A012,1.0,T1
A012_T2,A012,25.6,T2
A012_T3,A012,166.33,T3
A012_T4,A012,166.87,T4
A013_T1,A013,1.0,T1
A013_T2,A013,24.77,T2
A013_T3,A013,79.66,T3
A013_T4,A013,147.13,T4
A014_T1,A014,1.0,T1
A014_T2,A014,25.66,T2
A014_T3,A014,70.56,T3
A014_T4,A014,148.87,T4
A015_T1,A015,1.0,T1
A015_T2,A015,23.69,T2
A015_T3,A015,70.59,T3
A015_T4,A015,146.54,T4
A016_T1,A016,1.0,T1
A016_T2,A016,32.85,T2
A016_T3,A016,80.64,T3
A016_T4,A016,150.8,T4
A017_T1,A017,1.0,T1
A017_T2,A017,20.61,T2
A017_T3,A017,61.28,T3
A017_T4,A017,140.49,T4
A018_T1,A018,1.0,T1
A018_T2,A018,34.03,T2
A018_T3,A018,83.64,T3
A018_T4,A018,150.87,T4
A019_T1,A019,1.0,T1
A019_T2,A019,28.69,T2
A019_T3,A019,83.68,T3
A019_T4,A019,154.76,T4
A020_T1,A020,1.0,T1
A020_T2,A020,26.85,T2
A020_T3,A020,78.25,T3
A020_T4,A020,145.78,T4
A021_T1,A021,1.0,T1
A021_T2,A021,30.21,T2
A021_T3,A021,74.19,T3
A021_T4,A021,140.39,T4
A022_T1,A022,1.0,T1
A022_T2,A022,24.15,T2
A022_T3,A022,74.46,T3
A022_T4,A022,141.71,T4
A023_T1,A023,1.0,T1
A023_T2,A023,25.63,T2
A023_T3,A023,72.2,T3
A023_T4,A023,145.07,T4
A024_T1,A024,1.0,T1
A024_T2,A024,29.57,T2
A024_T3,A024,91.47,T3
A024_T4,A024,145.65,T4
A025_T1,A025,1.0,T1
A025_T2,A025,23.33,T2
A025_T3,A025,72.94,T3
A025_T4,A025,137.74,T4
A026_T1,A026,1.0,T1
A026_T2,A026,26.48,T2
A026_T3,A026,75.46,T3
A026_T4,A026,147.65,T4
A027_T1,A027,1.0,T1
A027_T2,A027,28.26,T2
A027_T3,A027,74.58,T3
A027_T4,A027,145.92,T4
A028_T1,A028,1.0,T1
A028_T2,A028,22.82,T2
A028_T3,A028,72.26,T3
A028_T4,A028,138.91,T4
A029_T1,A029,1.0,T1
A029_T2,A029,28.43,T2
A029_T3,A029,93.26,T3
A029_T4,A029,143.14,T4
A030_T1,A030,1.0,T1
A030_T2,A030,32.95,T2
A030_T3,A030,71.93,T3
A030_T4,A030,150.46,T4
A031_T1,A031,1.0,T1
A031_T2,A031,32.41,T2
A031_T3,A031,71.56,T3
A031_T4,A031,143.85,T4
A032_T1,A032,1.0,T1
A032_T2,A032,57.18,T2
A032_T3,A032,80.16,T3
A032_T4,A032,144.51,T4
A033_T1,A033,1.0,T1
A033_T2,A033,29.16,T2
A033_T3,A033,72.6,T3
A033_T4,A033,168.33,T4
A034_T1,A034,1.0,T1
A034_T2,A034,26.08,T2
A034_T3,A034,74.28,T3
A034_T4,A034,145.38,T4
A035_T1,A035,1.0,T1
A035_T2,A035,44.76,T2
A035_T3,A035,79.98,T3
A035_T4,A035,152.47,T4
A036_T1,A036,1.0,T1
A036_T2,A036,21.63,T2
A036_T3,A036,71.47,T3
A036_T4,A036,143.85,T4
A037_T1,A037,1.0,T1
A037_T2,A037,23.7,T2
A037_T3,A037,72.08,T3
A037_T4,A037,143.66,T4
A038_T1,A038,1.0,T1
A038_T2,A038,71.85,T2
A038_T3,A038,72.86,T3
A038_T4,A038,152.89,T4
A039_T1,A039,1.0,T1
A039_T2,A039,28.65,T2
A039_T3,A039,98.84,T3
A039_T4,A039,246.24,T4
A040_T1,A040,1.0,T1
A040_T2,A040,26.26,T2
A040_T3,A040,71.28,T3
A040_T4,A040,143.53,T4
A041_T1,A041,1.0,T1
A041_T2,A041,31.78,T2
A041_T3,A041,75.74,T3
A041_T4,A041,141.84,T4
A042_T1,A042,1.0,T1
A042_T2,A042,28.93,T2
A042_T3,A042,72.17,T3
A042_T4,A042,146.02,T4
A043_T1,A043,1.0,T1
A043_T2,A043,25.62,T2
A043_T3,A043,64.94,T3
A043_T4,A043,149.33,T4
A044_T1,A044,1.0,T1
A044_T2,A044,47.66,T2
A044_T3,A044,91.63,T3
A044_T4,A044,155.27,T4
A045_T1,A045,1.0,T1
A045_T2,A045,24.66,T2
A045_T3,A045,72.23,T3
A045_T4,A045,151.52,T4
A046_T1,A046,1.0,T1
A046_T2,A046,24.32,T2
A046_T3,A046,73.05,T3
A046_T4,A046,147.94,T4
A047_T1,A047,1.0,T1
A047_T2,A047,23.46,T2
A047_T3,A047,76.85,T3
A047_T4,A047,144.22,T4
A048_T1,A048,1.0,T1
A048_T2,A048,23.91,T2
A048_T3,A048,81.15,T3
A048_T4,A048,146.3,T4
A049_T1,A049,1.0,T1
A049_T2,A049,27.12,T2
A049_T3,A049,111.38,T3
A049_T4,A049,168.86,T4
A050_T1,A050,1.0,T1
A050_T2,A050,24.73,T2
A050_T3,A050,93.39,T3
A050_T4,A050,148.69,T4
A051_T1,A051,1.0,T1
A051_T2,A051,17.16,T2
A051_T3,A051,65.63,T3
A051_T4,A051,146.99,T4
A052_T1,A052,1.0,T1
A052_T2,A052,31.76,T2
A052_T3,A052,80.98,T3
A052_T4,A052,153.27,T4
A053_T1,A053,1.0,T1
A053_T2,A053,32.71,T2
A053_T3,A053,78.28,T3
A053_T4,A053,148.9,T4
A054_T1,A054,1.0,T1
A054_T2,A054,16.9,T2
A054_T3,A054,72.83,T3
A054_T4,A054,136.83,T4
A055_T1,A055,1.0,T1
A055_T2,A055,23.24,T2
A055_T3,A055,74.48,T3
A055_T4,A055,149.21,T4
A056_T1,A056,1.0,T1
A056_T2,A056,33.61,T2
A056_T3,A056,71.46,T3
A056_T4,A056,147.84,T4
A057_T1,A057,1.0,T1
A057_T2,A057,24.78,T2
A057_T3,A057,73.83,T3
A057_T4,A057,145.06,T4
A058_T1,A058,1.0,T1
A058_T2,A058,22.96,T2
A058_T3,A058,66.28,T3
A058_T4,A058,143.48,T4
A059_T1,A059,1.0,T1
A059_T2,A059,30.4,T2
A059_T3,A059,79.78,T3
A059_T4,A059,151.93,T4
A060_T1,A060,1.0,T1
A060_T2,A060,24.87,T2
A060_T3,A060,94.68,T3
A060_T4,A060,143.91,T4
A061_T1,A061,1.0,T1
A061_T2,A061,35.16,T2
A061_T3,A061,82.55,T3
A061_T4,A061,146.56,T4
A062_T1,A062,1.0,T1
A062_T2,A062,44.69,T2
A062_T3,A062,92.72,T3
A062_T4,A062,149.18,T4
A063_T1,A063,1.0,T1
A063_T2,A063,21.98,T2
A063_T3,A063,69.99,T3
A063_T4,A063,141.09,T4
A064_T1,A064,1.0,T1
A064_T2,A064,37.65,T2
A064_T3,A064,82.99,T3
A064_T4,A064,156.21,T4
A065_T1,A065,1.0,T1
A065_T2,A065,32.31,T2
A065_T3,A065,106.41,T3
A065_T4,A065,187.43,T4
A066_T1,A066,1.0,T1
A066_T2,A066,23.35,T2
A066_T3,A066,73.79,T3
A066_T4,A066,164.93,T4
A067_T1,A067,1.0,T1
A067_T2,A067,29.91,T2
A067_T3,A067,73.19,T3
A067_T4,A067,144.19,T4
A068_T1,A068,1.0,T1
A068_T2,A068,30.49,T2
A068_T3,A068,82.98,T3
A068_T4,A068,155.59,T4
A069_T1,A069,1.0,T1
A069_T2,A069,24.96,T2
A069_T3,A069,79.75,T3
A069_T4,A069,140.22,T4
A070_T1,A070,1.0,T1
A070_T2,A070,24.25,T2
A070_T3,A070,81.92,T3
A070_T4,A070,149.2,T4
A071_T1,A071,1.0,T1
A071_T2,A071,30.92,T2
A071_T3,A071,79.96,T3
A071_T4,A071,153.27,T4
A072_T1,A072,1.0,T1
A072_T2,A072,33.76,T2
A072_T3,A072,83.54,T3
A072_T4,A072,154.89,T4
A073_T1,A073,1.0,T1
A073_T2,A073,66.66,T2
A073_T3,A073,66.9,T3
A073_T4,A073,140.12,T4
A074_T1,A074,1.0,T1
A074_T2,A074,29.33,T2
A074_T3,A074,73.02,T3
A074_T4,A074,147.21,T4
A075_T1,A075,1.0,T1
A075_T2,A075,28.68,T2
A075_T3,A075,71.37,T3
A075_T4,A075,244.53,T4
A076_T1,A076,1.0,T1
A076_T2,A076,27.3,T2
A076_T3,A076,74.88,T3
A076_T4,A076,149.28,T4
A077_T1,A077,1.0,T1
A077_T2,A077,53.88,T2
A077_T3,A077,78.36,T3
A077_T4,A077,149.75,T4
A078_T1,A078,1.0,T1
A078_T2,A078,26.17,T2
A078_T3,A078,72.3,T3
A078_T4,A078,140.08,T4
A079_T1,A079,1.0,T1
A079_T2,A079,26.11,T2
A079_T3,A079,74.0,T3
A079_T4,A079,194.42,T4
A080_T1,A080,1.0,T1
A080_T2,A080,29.03,T2
A080_T3,A080,72.87,T3
A080_T4,A080,145.77,T4
A081_T1,A081,1.0,T1
A081_T2,A081,31.39,T2
A081_T3,A081,80.13,T3
A081_T4,A081,154.53,T4
A082_T1,A082,1.0,T1
A082_T2,A082,27.97,T2
A082_T3,A082,75.71,T3
A082_T4,A082,170.25,T4
A083_T1,A083,1.0,T1
A083_T2,A083,25.15,T2
A083_T3,A083,74.3,T3
A083_T4,A083,144.91,T4
A084_T1,A084,1.0,T1
A084_T2,A084,27.25,T2
A084_T3,A084,91.97,T3
A084_T4,A084,162.51,T4
A085_T1,A085,1.0,T1
A085_T2,A085,24.51,T2
A085_T3,A085,71.4,T3
A085_T4,A085,170.65,T4
A086_T1,A086,1.0,T1
A086_T2,A086,23.47,T2
A086_T3,A086,145.29,T3
A086_T4,A086,169.55,T4
A087_T1,A087,1.0,T1
A087_T2,A087,31.07,T2
A087_T3,A087,72.8,T3
A087_T4,A087,144.2,T4
A088_T1,A088,1.0,T1
A088_T2,A088,24.25,T2
A088_T3,A088,74.91,T3
A088_T4,A088,149.93,T4
A089_T1,A089,1.0,T1
A089_T2,A089,32.14,T2
A089_T3,A089,79.34,T3
A089_T4,A089,146.96,T4
A090_T1,A090,1.0,T1
A090_T2,A090,23.54,T2
A090_T3,A090,95.42,T3
A090_T4,A090,144.07,T4
A091_T1,A091,1.0,T1
A091_T2,A091,22.2,T2
A091_T3,A091,73.64,T3
A091_T4,A091,142.61,T4
A092_T1,A092,1.0,T1
A092_T2,A092,22.83,T2
A092_T3,A092,71.31,T3
A092_T4,A092,146.16,T4
A093_T1,A093,1.0,T1
A093_T2,A093,22.09,T2
A093_T3,A093,70.22,T3
A093_T4,A093,140.95,T4
A094_T1,A094,1.0,T1
A094_T2,A094,22.98,T2
A094_T3,A094,76.21,T3
A094_T4,A094,149.99,T4
A095_T1,A095,1.0,T1
A095_T2,A095,29.71,T2
A095_T3,A095,78.76,T3
A095_T4,A095,148.79,T4
A096_T1,A096,1.0,T1
A096_T2,A096,24.49,T2
A096_T3,A096,71.19,T3
A096_T4,A096,143.66,T4
A097_T1,A097,1.0,T1
A097_T2,A097,24.37,T2
A097_T3,A097,70.83,T3
A097_T4,A097,144.85,T4
A098_T1,A098,1.0,T1
A098_T2,A098,25.77,T2
A098_T3,A098,78.84,T3
A098_T4,A098,146.29,T4
A099_T1,A099,1.0,T1
A099_T2,A099,28.75,T2
A099_T3,A099,78.57,T3
A099_T4,A099,143.51,T4
A100_T1,A100,1.0,T1
A100_T2,A100,31.14,T2
A100_T3,A100,75.34,T3
A100_T4,A100,146.8,T4
A101_T1,A101,1.0,T1
A101_T2,A101,29.12,T2
A101_T3,A101,75.21,T3
A101_T4,A101,150.22,T4
A102_T1,A102,1.0,T1
A102_T2,A102,29.13,T2
A102_T3,A102,75.27,T3
A102_T4,A102,150.41,T4
A103_T1,A103,1.0,T1
A103_T2,A103,27.26,T2
A103_T3,A103,80.24,T3
A103_T4,A103,149.72,T4
A104_T1,A104,1.0,T1
A104_T2,A104,22.6,T2
A104_T3,A104,72.62,T3
A104_T4,A104,145.78,T4
A105_T1,A105,1.0,T1
A105_T2,A105,22.77,T2
A105_T3,A105,69.46,T3
A105_T4,A105,146.2,T4
A106_T1,A106,1.0,T1
A106_T2,A106,22.64,T2
A106_T3,A106,66.08,T3
A106_T4,A106,147.13,T4
A107_T1,A107,1.0,T1
A107_T2,A107,26.22,T2
A107_T3,A107,71.45,T3
A107_T4,A107,145.95,T4
A108_T1,A108,1.0,T1
A108_T2,A108,27.61,T2
A108_T3,A108,68.96,T3
A108_T4,A108,152.12,T4
A109_T1,A109,1.0,T1
A109_T2,A109,24.65,T2
A109_T3,A109,71.17,T3
A109_T4,A109,149.87,T4
