model_name,AIC,BIC,log_likelihood,n_params,converged,delta_AIC,akaike_weight,cumulative_weight
Quad+Log+SquareRoot,330.1831557918358,396.354154656925,-152.0915778959179,12.0,True,0.0,0.6526305701017291,0.6526305701017291
Ultimate,332.33317854782035,408.68433108446175,-151.16658927391018,14.0,True,2.150022755984537,0.22273881428160336,0.8753693843833324
Root_Multi,338.5629152535348,394.5537604470718,-158.2814576267674,10.0,True,8.379759461698995,0.009886117455071097,0.8852555018384035
SquareRoot,338.8332365975748,389.7340049553357,-159.4166182987874,9.0,True,8.65008080573898,0.008636270406820188,0.8938917722452236
Exp_slow,338.8332365975748,389.7340049553357,-159.4166182987874,9.0,True,8.65008080573898,0.008636270406820188,0.9025280426520438
CubeRoot,338.879396821063,389.7801651788239,-159.4396984105315,9.0,True,8.696241029227167,0.008439226960034435,0.9109672696120782
Root_033,338.8957974973855,389.7965658551464,-159.44789874869275,9.0,True,8.712641705549686,0.00837030542132631,0.9193375750334045
SquareRoot+Lin,339.1708466241762,395.1616918177132,-158.5854233120881,10.0,True,8.987690832340377,0.007294829506671438,0.926632404540076
SquareRoot+Recip,339.47142625351626,395.46227144705324,-158.73571312675813,10.0,True,9.28827046168044,0.00627689854214136,0.9329093030822173
PowerLaw+Recip+Log,339.6183567609751,400.6992787902882,-157.80917838048754,11.0,True,9.43520096913926,0.005832295965982793,0.9387415990482001
Quartic,339.70379855857936,405.87479742366855,-156.85189927928968,12.0,True,9.52064276674355,0.005588382242594699,0.9443299812907948
Recip+Lin,339.8846556132612,395.8755008067982,-158.9423278066306,10.0,True,9.701499821425386,0.005105208616433824,0.9494351899072286
Log+SquareRoot,339.9398605500737,395.9307057436107,-158.96993027503686,10.0,True,9.756704758237902,0.0049662193054318795,0.9544014092126605
SquareRoot+Log,339.9629736515835,395.9538188451205,-158.98148682579176,10.0,True,9.779817859747709,0.004909157295047855,0.9593105665077083
SquareRoot+PowerLaw,340.0054049862956,395.9962501798326,-159.0027024931478,10.0,True,9.8222491944598,0.004806103291995747,0.964116669799704
Exp+Recip,340.01661648339723,396.0074616769342,-159.00830824169861,10.0,True,9.833460691561413,0.004779236859020603,0.9688959066587246
CubeRoot+Log,340.02879039998516,396.01963559352214,-159.01439519999258,10.0,True,9.84563460814934,0.004750234202112493,0.9736461408608371
PowerLaw_Lin,341.60388623150175,397.59473142503873,-159.80194311575087,10.0,True,11.420730439665931,0.002161161928188529,0.9758073027890256
Exp+PowerLaw,341.6703880231398,397.6612332166768,-159.8351940115699,10.0,True,11.487232231304006,0.0020904829398067106,0.9778977857288323
PowerLaw_01,341.6898953630771,392.590663720838,-160.84494768153854,9.0,True,11.506739571241269,0.0020701921747115367,0.9799679779035438
Lin+Log+PowerLaw,341.94340868263134,403.02433071194446,-158.97170434131567,11.0,True,11.760252890795527,0.0018237316903002931,0.9817917095938441
Recip+Quad,342.0106912158917,403.0916132452048,-159.00534560794586,11.0,True,11.827535424055895,0.00176339956076337,0.9835551091546074
PowerLaw_02,342.01354858486957,392.9143169426305,-161.00677429243478,9.0,True,11.830392793033752,0.001760882017978509,0.985315991172586
Log10,342.56559304078655,393.46636139854746,-161.28279652039328,9.0,True,12.382437248950737,0.0013361503445625564,0.9866521415171485
Log,342.56559304078655,393.46636139854746,-161.28279652039328,9.0,True,12.382437248950737,0.0013361503445625564,0.9879882918617111
Log2,342.5655930407884,393.4663613985493,-161.2827965203942,9.0,True,12.382437248952556,0.0013361503445613412,0.9893244422062725
Log+LogLog,342.92491717362645,398.91576236716344,-160.46245858681323,10.0,True,12.741761381790639,0.0011164237941294942,0.9904408660004019
Recip+Log,342.94783452664706,398.93867972018404,-160.47391726332353,10.0,True,12.764678734811241,0.0011037040698033602,0.9915445700702052
Log+Recip,343.0648536334502,399.05569882698717,-160.5324268167251,10.0,True,12.881697841614368,0.0010409797175343189,0.9925855497877396
PowerLaw_03,343.31153839910075,394.21230675686166,-161.65576919955038,9.0,True,13.128382607264939,0.0009201854280507992,0.9935057352157904
PowerLaw_Log,343.3658725886289,399.3567177821659,-160.68293629431446,10.0,True,13.182716796793102,0.0008955231809429845,0.9944012583967334
Log+PowerLaw05,343.4177376761236,399.40858286966056,-160.7088688380618,10.0,True,13.234581884287763,0.000872598518991703,0.9952738569157251
Tanh+Log,344.12343125651023,400.1142764500472,-161.06171562825512,10.0,True,13.940275464674414,0.0006131617536159796,0.9958870186693412
Exp+Log,344.2294326921856,400.22027788572257,-161.1147163460928,10.0,True,14.046276900349767,0.0005815099341181008,0.9964685286034592
Lin+Log,344.2294326921856,400.22027788572257,-161.1147163460928,10.0,True,14.046276900349767,0.0005815099341181008,0.9970500385375773
Sin+Log,344.30220935434954,400.2930545478865,-161.15110467717477,10.0,True,14.119053562513727,0.0005607301222911351,0.9976107686598685
FourthRoot,344.37516400807544,395.27593236583635,-162.18758200403772,9.0,True,14.192008216239628,0.0005406447438718823,0.9981514134037404
Lin+Quad+Log,345.1990337403531,406.27995576966623,-160.59951687017656,11.0,True,15.0158779485173,0.00035810546261821354,0.9985095188663585
Quad+Log,345.1990337403531,406.27995576966623,-160.59951687017656,11.0,True,15.0158779485173,0.00035810546261821354,0.9988676243289767
PowerLaw_04,345.3618940186607,396.2626623764216,-162.68094700933034,9.0,True,15.178738226824862,0.00033010057877282085,0.9991977249077495
Recip+PowerLaw,345.59298550353924,401.5838306970762,-161.79649275176962,10.0,True,15.409829711703424,0.00029407994429440985,0.9994918048520439
Recip+PowerLaw05,345.59298550353924,401.5838306970762,-161.79649275176962,10.0,True,15.409829711703424,0.00029407994429440985,0.9997858847963383
LogLog,347.8012593943131,398.702027752074,-163.90062969715655,9.0,True,17.618103602477277,9.748657774341575e-05,0.9998833713740818
PowerLaw_05,347.9566022908184,398.8573706485793,-163.9783011454092,9.0,True,17.773446498982594,9.020124738766221e-05,0.9999735726214695
PowerLaw_06,350.9098085580554,401.8105769158163,-165.4549042790277,9.0,True,20.72665276621956,2.0603070590648248e-05,0.9999941756920601
PowerLaw_07,354.0633032186943,404.9640715764552,-167.03165160934714,9.0,True,23.880147426858457,4.2575453792817e-06,0.9999984332374393
PowerLaw_08,357.289180723099,408.1899490808599,-168.6445903615495,9.0,True,27.106024931263164,8.485332909328922e-07,0.9999992817707303
Root_067,358.45188892887563,409.35265728663654,-169.22594446443782,9.0,True,28.268733137039817,4.744495149407035e-07,0.9999997562202452
PowerLaw_09,360.4897368114216,411.3905051691825,-170.2448684057108,9.0,True,30.306581019585792,1.7126829007295814e-07,0.9999999274885353
Reciprocal,363.5950219523984,414.4957903101593,-171.7975109761992,9.0,True,33.41186616056257,3.625541336276228e-08,0.9999999637439486
PowerLaw_10,363.5950219523984,414.4957903101593,-171.7975109761992,9.0,True,33.41186616056257,3.625541336276228e-08,0.999999999999362
Recip_sq,385.4922432928179,436.3930116505788,-182.74612164640894,9.0,True,55.30908750098206,6.374581271995565e-13,0.9999999999999994
Cubic_pure,524.7356890675201,575.6364574252809,-252.36784453376004,9.0,True,194.55253327568425,3.6993173718458245e-43,0.9999999999999994
Exp_fast,536.3254395086842,587.2262078664451,-258.1627197543421,9.0,True,206.1422837168484,1.1257430133242636e-45,0.9999999999999994
Quadratic_pure,536.3254395086842,587.2262078664451,-258.1627197543421,9.0,True,206.1422837168484,1.1257430133242636e-45,0.9999999999999994
Sinh,916.9336842118428,967.8344525696036,-448.4668421059214,9.0,False,586.750528420007,2.531681333885129e-128,0.9999999999999994
Sin,1060.8537624445835,1111.7545308023443,-520.4268812222917,9.0,False,730.6706066527477,1.4176242502999385e-159,0.9999999999999994
Sin+Cos,1073.5185333709614,1129.5093785644985,-525.7592666854807,10.0,False,743.3353775791256,2.5202351813570453e-162,0.9999999999999994
Cubic,1079.1178781092858,1140.198800138599,-527.5589390546429,11.0,False,748.93472231745,1.5330587871490672e-163,0.9999999999999994
Quadratic,1080.4386520283097,1136.4294972218468,-529.2193260141548,10.0,False,750.2554962364738,7.920569267224134e-164,0.9999999999999994
Tanh,1087.379628876528,1138.2803972342888,-533.689814438264,9.0,False,757.1964730846921,2.4634424688345173e-165,0.9999999999999994
Arctanh,1093.1752607095732,1144.076029067334,-536.5876303547866,9.0,False,762.9921049177374,1.358429055399251e-166,0.9999999999999994
Cos,1102.1564742257833,1153.0572425835442,-541.0782371128917,9.0,False,771.9733184339475,1.5233202897247475e-168,0.9999999999999994
Linear,1107.6525613525573,1158.5533297103182,-543.8262806762787,9.0,False,777.4694055607215,9.757331744934346e-170,0.9999999999999994
Exponential_proxy,1107.6525613525573,1158.5533297103182,-543.8262806762787,9.0,False,777.4694055607215,9.757331744934346e-170,0.9999999999999994
